DRUG_NO,Cate
N000825209,1
A003098100,1
A0030981G0,1
A003388100,1
A0033881G0,1
A008279100,1
A014346100,1
A016964100,1
A030456100,1
A031179100,1
A040294100,1
N002597100,1
N003316100,1
N004716100,1
N005874100,1
N009323100,1
N011948100,1
N016648100,1
N0166481G0,1
NC00141100,1
NC001411G0,1
NC02791100,1
NC027911G0,1
A004276100,1
A0042761G0,1
A046028100,1
A0460281G0,1
NC08138100,1
A010917100,1
A0109171G0,1
A046691100,1
A050136100,1
A050254100,1
A050772100,1
B024923100,1
B025649100,1
A026027100,1
A027818100,1
A028200100,1
A034090100,1
A037474100,1
A042380100,1
A043728100,1
A046538100,1
A047171100,1
A047420100,1
A047606100,1
A047789100,1
A047996100,1
A048122100,1
A048353100,1
A048705100,1
A048966100,1
A051388100,1
AB41641100,1
AB45955100,1
AB47372100,1
AC42659100,1
AC42749100,1
AC44828100,1
B016528100,1
B019810100,1
B021754100,1
B022387100,1
A001047100,1
A0010471G0,1
A002368100,1
A0023681G0,1
A009594212,1
A011150212,1
A022641100,1
A0226411G0,1
A027928212,1
A030697100,1
A0306971G0,1
A033595212,1
AB30749100,1
AB307491G0,1
AB44046157,1
AC30521212,1
AC45363100,1
AC453631G0,1
B022535100,1
B0225351G0,1
B022840212,1
NB05612212,1
A026154100,1
A027244100,1
A027577212,1
A028079100,1
A032805100,1
A034283100,1
A0342831G0,1
AC40513100,1
B005176100,1
B019109219,1
A012081100,1
A0120811G0,1
A014015100,1
A018569100,1
A0185691G0,1
A025965100,1
A030526100,1
A0305261G0,1
A041545100,1
A0415451G0,1
A050116100,1
A0501161G0,1
AC22908100,1
AC229081G0,1
B011489100,1
B022610100,1
B0226101G0,1
B024306100,1
AC40428100,1
B018699100,1
B020556100,1
A015670100,1
A022050100,1
A024023100,1
A026407100,1
A026875100,1
A027448100,1
A029379100,1
A031909100,1
A032815100,1
A035277100,1
A036367100,1
A040265100,1
A041659100,1
A044850100,1
AC29320100,1
AC40580100,1
B016784100,1
B019752100,1
AC26741100,2
AC267411G0,2
AC30415100,2
AC39962100,2
B021220100,2
B021221100,2
B0212211G0,2
A043765100,2
A044681100,2
A044853100,2
A050263100,2
AC42378100,2
AC42874100,2
AC43467100,2
AC44567100,2
AC44621100,2
AC45013100,2
AC45039100,2
AC45144100,2
AC49920100,2
AC57288100,2
B021641100,2
B021643100,2
B023711100,2
B024212100,2
B023179100,2
A036675100,3
B016080100,3
B018925100,3
B018926100,3
A005757100,3
A006194100,3
A009782100,3
A010058100,3
A010332100,3
A010812100,3
A010848212,3
A015042100,3
A016350100,3
A016467100,3
A018250100,3
A0182501G0,3
A018251100,3
A0182511G0,3
A018458100,3
A018664100,3
A019192100,3
A019484100,3
A019639100,3
A0196391G0,3
A019875100,3
A0198751G0,3
A020871100,3
A0208711G0,3
A020927100,3
A021603100,3
A022259100,3
A023037100,3
A0230371G0,3
A023845100,3
A024076100,3
A024104100,3
A024536100,3
A029881100,3
A033900100,3
A0339001G0,3
A038168100,3
A039396100,3
A040430100,3
AC01806100,3
AC07175100,3
AC09102100,3
AC091021G0,3
AC20893100,3
B022143100,3
B0221431G0,3
B020238100,3
A046867100,3
AC43852100,3
B021303100,3
B021538100,3
A029301100,3
A029313100,3
A031032100,3
A036844100,3
A040547100,3
AC41956100,3
B016888100,3
B019507100,3
B019508100,3
B020174100,3
B023799100,3
A027452100,3
A029443100,3
A029735100,3
